R_N2,R_O2,R_O2,E1,E2
6.425069e+00,3.932265e+00,3.932265e+00,2.111580e+02,1.703631e+02
6.803014e+00,4.088103e+00,4.088103e+00,2.169239e+02,1.743400e+02
7.180959e+00,4.246631e+00,4.246631e+00,2.206827e+02,1.750250e+02
7.558904e+00,4.407561e+00,4.407561e+00,2.230719e+02,1.752058e+02
1.039349e+01,5.669966e+00,5.669966e+00,2.182581e+02,1.723063e+02
1.133836e+01,6.105892e+00,6.105892e+00,2.183644e+02,1.720563e+02
1.511781e+00,2.570305e+00,2.570305e+00,4.628901e+02,4.685216e+02
1.700754e+00,2.599662e+00,2.599662e+00,2.097589e+02,2.153505e+02
1.889726e+00,2.632084e+00,2.632084e+00,8.861230e+01,9.372010e+01
2.078699e+00,2.667461e+00,2.667461e+00,4.046850e+01,4.358530e+01
2.267671e+00,2.705676e+00,2.705676e+00,2.810900e+01,3.117640e+01
2.456644e+00,2.746611e+00,2.746611e+00,3.472870e+01,3.652830e+01
2.645617e+00,2.790147e+00,2.790147e+00,4.976870e+01,4.959460e+01
2.834589e+00,2.836164e+00,2.836164e+00,6.742160e+01,6.502510e+01
3.023562e+00,2.884542e+00,2.884542e+00,8.463030e+01,8.001750e+01
3.212534e+00,2.935165e+00,2.935165e+00,9.994720e+01,9.320250e+01
3.401507e+00,2.987919e+00,2.987919e+00,1.117350e+02,1.041373e+02
3.590480e+00,3.042694e+00,3.042694e+00,1.233800e+02,1.135291e+02
3.779452e+00,3.099381e+00,3.099381e+00,1.341549e+02,1.212112e+02
4.157397e+00,3.218088e+00,3.218088e+00,1.521516e+02,1.349175e+02
4.535343e+00,3.343267e+00,3.343267e+00,1.686158e+02,1.464999e+02
4.913288e+00,3.474219e+00,3.474219e+00,1.819797e+02,1.556716e+02
5.291233e+00,3.610317e+00,3.610317e+00,1.918472e+02,1.611865e+02
5.669178e+00,3.750999e+00,3.750999e+00,2.013142e+02,1.664214e+02
6.047124e+00,3.895770e+00,3.895770e+00,2.090840e+02,1.695760e+02
6.425069e+00,4.044191e+00,4.044191e+00,2.151631e+02,1.715975e+02
6.803014e+00,4.195873e+00,4.195873e+00,2.187585e+02,1.728670e+02
7.180959e+00,4.350476e+00,4.350476e+00,2.222392e+02,1.751038e+02
7.558904e+00,4.507700e+00,4.507700e+00,2.241876e+02,1.808470e+02
8.503768e+00,4.910562e+00,4.910562e+00,2.264281e+02,1.804508e+02
1.039349e+01,5.748154e+00,5.748154e+00,2.178764e+02,1.719935e+02
1.133836e+01,6.178566e+00,6.178566e+00,2.178640e+02,1.719343e+02
1.511781e+00,2.751483e+00,2.751483e+00,4.399043e+02,4.455989e+02
1.700754e+00,2.778926e+00,2.778926e+00,1.928610e+02,1.988035e+02
1.889726e+00,2.809280e+00,2.809280e+00,7.708760e+01,8.248130e+01
2.078699e+00,2.842452e+00,2.842452e+00,3.116850e+01,3.545910e+01
2.267671e+00,2.878345e+00,2.878345e+00,2.407200e+01,2.537470e+01
2.456644e+00,2.916858e+00,2.916858e+00,3.357440e+01,3.377610e+01
2.645617e+00,2.957889e+00,2.957889e+00,5.115140e+01,4.955770e+01
2.834589e+00,3.001335e+00,3.001335e+00,7.117410e+01,6.747690e+01
3.023562e+00,3.047092e+00,3.047092e+00,9.070330e+01,8.484780e+01
3.212534e+00,3.095058e+00,3.095058e+00,1.083088e+02,1.003292e+02
3.401507e+00,3.145131e+00,3.145131e+00,1.234562e+02,1.133913e+02
3.590480e+00,3.197213e+00,3.197213e+00,1.362460e+02,1.241154e+02
3.779452e+00,3.251208e+00,3.251208e+00,1.471789e+02,1.325214e+02
4.157397e+00,3.364562e+00,3.364562e+00,1.657058e+02,1.459218e+02
4.535343e+00,3.484483e+00,3.484483e+00,1.804143e+02,1.559198e+02
4.913288e+00,3.610317e+00,3.610317e+00,1.926327e+02,1.630870e+02
5.291233e+00,3.741467e+00,3.741467e+00,2.008186e+02,1.663119e+02
5.669178e+00,3.877394e+00,3.877394e+00,2.077889e+02,1.690598e+02
6.047124e+00,4.017613e+00,4.017613e+00,2.140655e+02,1.712153e+02
6.425069e+00,4.161690e+00,4.161690e+00,2.182679e+02,1.723382e+02
6.803014e+00,4.309239e+00,4.309239e+00,2.211739e+02,1.740359e+02
7.180959e+00,4.459914e+00,4.459914e+00,2.231456e+02,1.741231e+02
7.558904e+00,4.613409e+00,4.613409e+00,2.243398e+02,1.778190e+02
1.511781e+00,2.933644e+00,2.933644e+00,4.257674e+02,4.295516e+02
1.700754e+00,2.959398e+00,2.959398e+00,1.839388e+02,1.890242e+02
1.889726e+00,2.987919e+00,2.987919e+00,7.297270e+01,7.807630e+01
2.078699e+00,3.019130e+00,3.019130e+00,3.101310e+01,3.525620e+01
2.267671e+00,3.052946e+00,3.052946e+00,2.473770e+01,2.755220e+01
2.456644e+00,3.089283e+00,3.089283e+00,3.816080e+01,3.691070e+01
2.645617e+00,3.128053e+00,3.128053e+00,5.746640e+01,5.447050e+01
2.834589e+00,3.169167e+00,3.169167e+00,7.890840e+01,7.384750e+01
3.023562e+00,3.212534e+00,3.212534e+00,9.970430e+01,9.248850e+01
3.212534e+00,3.258065e+00,3.258065e+00,1.185022e+02,1.091245e+02
3.401507e+00,3.305671e+00,3.305671e+00,1.347509e+02,1.231855e+02
3.590480e+00,3.355262e+00,3.355262e+00,1.484294e+02,1.345968e+02
3.779452e+00,3.406752e+00,3.406752e+00,1.598955e+02,1.432689e+02
4.157397e+00,3.515094e+00,3.515094e+00,1.783716e+02,1.558144e+02
4.535343e+00,3.630045e+00,3.630045e+00,1.917056e+02,1.639383e+02
4.913288e+00,3.750999e+00,3.750999e+00,2.019544e+02,1.689230e+02
5.291233e+00,3.877394e+00,3.877394e+00,2.082716e+02,1.701172e+02
5.669178e+00,4.008714e+00,4.008714e+00,2.132475e+02,1.712898e+02
1.511781e+00,3.116616e+00,3.116616e+00,4.157331e+02,4.158448e+02
1.700754e+00,3.140870e+00,3.140870e+00,1.790890e+02,1.813251e+02
1.889726e+00,3.167758e+00,3.167758e+00,7.267480e+01,7.589430e+01
2.078699e+00,3.197213e+00,3.197213e+00,3.457030e+01,3.757770e+01
2.267671e+00,3.229165e+00,3.229165e+00,3.119920e+01,3.309960e+01
2.456644e+00,3.263541e+00,3.263541e+00,4.444970e+01,4.468660e+01
2.645617e+00,3.300265e+00,3.300265e+00,6.656180e+01,6.212410e+01
2.834589e+00,3.339259e+00,3.339259e+00,8.889800e+01,8.234510e+01
3.023562e+00,3.380445e+00,3.380445e+00,1.103383e+02,1.015580e+02
3.212534e+00,3.423744e+00,3.423744e+00,1.296603e+02,1.186061e+02
3.401507e+00,3.469076e+00,3.469076e+00,1.463572e+02,1.329366e+02
3.590480e+00,3.516363e+00,3.516363e+00,1.603798e+02,1.444098e+02
3.779452e+00,3.565528e+00,3.565528e+00,1.724098e+02,1.537386e+02
4.157397e+00,3.669184e+00,3.669184e+00,1.903487e+02,1.640496e+02
4.535343e+00,3.779452e+00,3.779452e+00,2.025772e+02,1.701197e+02
4.913288e+00,3.895770e+00,3.895770e+00,2.110553e+02,1.730172e+02
5.291233e+00,4.017613e+00,4.017613e+00,2.152325e+02,1.726285e+02
5.669178e+00,4.144493e+00,4.144493e+00,2.190791e+02,1.735327e+02
6.047124e+00,4.275962e+00,4.275962e+00,2.213318e+02,1.734769e+02
6.425069e+00,4.411610e+00,4.411610e+00,2.230611e+02,1.733846e+02
6.803014e+00,4.551063e+00,4.551063e+00,2.243299e+02,1.732416e+02
7.180959e+00,4.693982e+00,4.693982e+00,2.252417e+02,1.730712e+02
1.511781e+00,3.300265e+00,3.300265e+00,3.993229e+02,3.851351e+02
1.700754e+00,3.323179e+00,3.323179e+00,1.723108e+02,1.604455e+02
1.889726e+00,3.348603e+00,3.348603e+00,7.406180e+01,6.495670e+01
2.078699e+00,3.376481e+00,3.376481e+00,3.955410e+01,3.755830e+01
2.267671e+00,3.406752e+00,3.406752e+00,3.910210e+01,3.885130e+01
2.456644e+00,3.439353e+00,3.439353e+00,5.434800e+01,5.285260e+01
2.645617e+00,3.474219e+00,3.474219e+00,7.565640e+01,7.233740e+01
2.834589e+00,3.511282e+00,3.511282e+00,9.822430e+01,9.279390e+01
3.023562e+00,3.550473e+00,3.550473e+00,1.215750e+02,1.109052e+02
3.212534e+00,3.591723e+00,3.591723e+00,1.410347e+02,1.278637e+02
3.401507e+00,3.634961e+00,3.634961e+00,1.577735e+02,1.419368e+02
3.590480e+00,3.680117e+00,3.680117e+00,1.717738e+02,1.529824e+02
3.779452e+00,3.727123e+00,3.727123e+00,1.833620e+02,1.622356e+02
4.157397e+00,3.826404e+00,3.826404e+00,2.006517e+02,1.706575e+02
4.535343e+00,3.932265e+00,3.932265e+00,2.109433e+02,1.748009e+02
4.913288e+00,4.044191e+00,4.044191e+00,2.173539e+02,1.761779e+02
5.291233e+00,4.161690e+00,4.161690e+00,2.207876e+02,1.749034e+02
5.669178e+00,4.284305e+00,4.284305e+00,2.220924e+02,1.741141e+02
6.047124e+00,4.411610e+00,4.411610e+00,2.233418e+02,1.736749e+02
6.425069e+00,4.543210e+00,4.543210e+00,2.243858e+02,1.733781e+02
6.803014e+00,4.678742e+00,4.678742e+00,2.252025e+02,1.731434e+02
7.180959e+00,4.817875e+00,4.817875e+00,2.258225e+02,1.729461e+02
1.511781e+00,3.484483e+00,3.484483e+00,3.790149e+02,3.623187e+02
1.700754e+00,3.506193e+00,3.506193e+00,1.546124e+02,1.392161e+02
1.889726e+00,3.530300e+00,3.530300e+00,6.026440e+01,4.536270e+01
2.078699e+00,3.556754e+00,3.556754e+00,3.432720e+01,1.983060e+01
2.267671e+00,3.585503e+00,3.585503e+00,4.178200e+01,2.854950e+01
2.456644e+00,3.616493e+00,3.616493e+00,6.455840e+01,5.252780e+01
2.645617e+00,3.649667e+00,3.649667e+00,8.687060e+01,8.110850e+01
2.834589e+00,3.684966e+00,3.684966e+00,1.099203e+02,1.020679e+02
3.023562e+00,3.722329e+00,3.722329e+00,1.315445e+02,1.210867e+02
3.212534e+00,3.761694e+00,3.761694e+00,1.520511e+02,1.360904e+02
3.401507e+00,3.803000e+00,3.803000e+00,1.686139e+02,1.495522e+02
3.590480e+00,3.846185e+00,3.846185e+00,1.823219e+02,1.598143e+02
3.779452e+00,3.891184e+00,3.891184e+00,1.949582e+02,1.675790e+02
4.157397e+00,3.986382e+00,3.986382e+00,2.098637e+02,1.743677e+02
4.535343e+00,4.088103e+00,4.088103e+00,2.176743e+02,1.770169e+02
6.047124e+00,4.551063e+00,4.551063e+00,2.247508e+02,1.736820e+02
6.425069e+00,4.678742e+00,4.678742e+00,2.253386e+02,1.732888e+02
6.803014e+00,4.810457e+00,4.810457e+00,2.258500e+02,1.730202e+02
9.448631e+00,5.821461e+00,5.821461e+00,2.286069e+02,1.724517e+02
1.039349e+01,6.210992e+00,6.210992e+00,2.285004e+02,1.721393e+02
1.133836e+01,6.611341e+00,6.611341e+00,2.284042e+02,1.720039e+02
1.511781e+00,3.669184e+00,3.669184e+00,3.648971e+02,3.461702e+02
1.700754e+00,3.689808e+00,3.689808e+00,1.418848e+02,1.235392e+02
1.889726e+00,3.712723e+00,3.712723e+00,4.901630e+01,3.078540e+01
2.078699e+00,3.737886e+00,3.737886e+00,2.481460e+01,6.499600e+00
2.267671e+00,3.765253e+00,3.765253e+00,3.494060e+01,1.654630e+01
2.456644e+00,3.794775e+00,3.794775e+00,5.963830e+01,4.184300e+01
2.645617e+00,3.826404e+00,3.826404e+00,9.005170e+01,7.243270e+01
2.834589e+00,3.860087e+00,3.860087e+00,1.199897e+02,1.020620e+02
3.023562e+00,3.895770e+00,3.895770e+00,1.425946e+02,1.279863e+02
3.212534e+00,3.933400e+00,3.933400e+00,1.616322e+02,1.443130e+02
3.401507e+00,3.972922e+00,3.972922e+00,1.789003e+02,1.555516e+02
3.590480e+00,4.014278e+00,4.014278e+00,1.917536e+02,1.645892e+02
3.779452e+00,4.057414e+00,4.057414e+00,2.032855e+02,1.711784e+02
7.558904e+00,5.213042e+00,5.213042e+00,2.282648e+02,1.741569e+02
8.503768e+00,5.565075e+00,5.565075e+00,2.289600e+02,1.729369e+02
9.448631e+00,5.933860e+00,5.933860e+00,2.290960e+02,1.723601e+02
1.039349e+01,6.316464e+00,6.316464e+00,2.291508e+02,1.720996e+02
1.133836e+01,6.710524e+00,6.710524e+00,2.291450e+02,1.719870e+02
1.511781e+00,3.854300e+00,3.854300e+00,3.551918e+02,3.348228e+02
1.700754e+00,3.873939e+00,3.873939e+00,1.328469e+02,1.120472e+02
1.889726e+00,3.895770e+00,3.895770e+00,4.089660e+01,1.998320e+01
2.078699e+00,3.919758e+00,3.919758e+00,1.777240e+01,-3.624700e+00
2.267671e+00,3.945864e+00,3.945864e+00,2.910560e+01,7.271200e+00
2.456644e+00,3.974045e+00,3.974045e+00,5.480670e+01,3.312000e+01
2.645617e+00,4.004258e+00,4.004258e+00,8.617150e+01,6.487400e+01
2.834589e+00,4.036457e+00,4.036457e+00,1.171461e+02,9.588400e+01
3.023562e+00,4.070595e+00,4.070595e+00,1.452300e+02,1.229218e+02
3.212534e+00,4.106623e+00,4.106623e+00,1.706766e+02,1.457784e+02
3.401507e+00,4.144493e+00,4.144493e+00,1.872379e+02,1.584741e+02
3.590480e+00,4.184154e+00,4.184154e+00,1.985596e+02,1.686371e+02
3.779452e+00,4.225556e+00,4.225556e+00,2.147787e+02,1.784844e+02
4.535343e+00,4.407561e+00,4.407561e+00,2.202560e+02,1.822813e+02
4.913288e+00,4.507700e+00,4.507700e+00,2.269392e+02,1.780810e+02
5.291233e+00,4.613409e+00,4.613409e+00,2.257950e+02,1.756213e+02
5.669178e+00,4.724315e+00,4.724315e+00,2.255656e+02,1.743127e+02
6.047124e+00,4.840060e+00,4.840060e+00,2.257270e+02,1.735900e+02
6.425069e+00,4.960306e+00,4.960306e+00,2.260205e+02,1.731646e+02
7.180959e+00,5.213042e+00,5.213042e+00,2.263750e+02,1.743880e+02
7.558904e+00,5.344953e+00,5.344953e+00,2.279263e+02,1.737522e+02
8.503768e+00,5.688829e+00,5.688829e+00,2.288316e+02,1.727661e+02
9.448631e+00,6.050076e+00,6.050076e+00,2.290468e+02,1.722920e+02
1.039349e+01,6.425764e+00,6.425764e+00,2.291178e+02,1.720737e+02
1.133836e+01,6.813504e+00,6.813504e+00,2.291090e+02,1.719779e+02
1.511781e+00,4.039773e+00,4.039773e+00,3.485740e+02,3.268985e+02
1.700754e+00,4.058514e+00,4.058514e+00,1.263177e+02,1.039388e+02
1.889726e+00,4.079358e+00,4.079358e+00,3.510770e+01,1.230500e+01
2.078699e+00,4.102273e+00,4.102273e+00,1.263450e+01,-1.089660e+01
2.267671e+00,4.127224e+00,4.127224e+00,2.470600e+01,5.208000e-01
2.456644e+00,4.154175e+00,4.154175e+00,5.219400e+01,2.749180e+01
2.645617e+00,4.183087e+00,4.183087e+00,8.457130e+01,6.000270e+01
2.834589e+00,4.213920e+00,4.213920e+00,1.165820e+02,9.167960e+01
3.023562e+00,4.246631e+00,4.246631e+00,1.456068e+02,1.195792e+02
3.212534e+00,4.281179e+00,4.281179e+00,1.700404e+02,1.420469e+02
3.401507e+00,4.317518e+00,4.317518e+00,1.898204e+02,1.588157e+02
3.590480e+00,4.355604e+00,4.355604e+00,2.037641e+02,1.697773e+02
3.779452e+00,4.395391e+00,4.395391e+00,2.117934e+02,1.737110e+02
5.291233e+00,4.769453e+00,4.769453e+00,2.279780e+02,1.754469e+02
1.511781e+00,4.225556e+00,4.225556e+00,3.440786e+02,3.213927e+02
1.700754e+00,4.243477e+00,4.243477e+00,1.218099e+02,9.824760e+01
1.889726e+00,4.263416e+00,4.263416e+00,3.100670e+01,6.659100e+00
2.078699e+00,4.285347e+00,4.285347e+00,8.920000e+00,-1.627210e+01
2.267671e+00,4.309239e+00,4.309239e+00,2.143650e+01,-4.571500e+00
2.456644e+00,4.335058e+00,4.335058e+00,4.940790e+01,2.274980e+01
2.645617e+00,4.362772e+00,4.362772e+00,8.236700e+01,5.553170e+01
2.834589e+00,4.392343e+00,4.392343e+00,1.152042e+02,8.785350e+01
3.023562e+00,4.423735e+00,4.423735e+00,1.447335e+02,1.160799e+02
3.212534e+00,4.456910e+00,4.456910e+00,1.693280e+02,1.389767e+02
3.401507e+00,4.491828e+00,4.491828e+00,1.888208e+02,1.556433e+02
3.590480e+00,4.528448e+00,4.528448e+00,2.036260e+02,1.666401e+02
3.779452e+00,4.566730e+00,4.566730e+00,2.137144e+02,1.735470e+02
1.511781e+00,4.411610e+00,4.411610e+00,3.410242e+02,3.175818e+02
1.700754e+00,4.428778e+00,4.428778e+00,1.187094e+02,9.426810e+01
1.889726e+00,4.447887e+00,4.447887e+00,2.810480e+01,2.587300e+00
2.078699e+00,4.468913e+00,4.468913e+00,6.246000e+00,-2.015070e+01
2.267671e+00,4.491828e+00,4.491828e+00,1.903120e+01,-8.292300e+00
2.456644e+00,4.516604e+00,4.516604e+00,4.729800e+01,1.923510e+01
2.645617e+00,4.543210e+00,4.543210e+00,8.045740e+01,5.183580e+01
2.834589e+00,4.571614e+00,4.571614e+00,1.128930e+02,8.376450e+01
3.023562e+00,4.601784e+00,4.601784e+00,1.419018e+02,1.120056e+02
3.212534e+00,4.633684e+00,4.633684e+00,1.664056e+02,1.350379e+02
3.401507e+00,4.667279e+00,4.667279e+00,1.861150e+02,1.522817e+02
3.590480e+00,4.702533e+00,4.702533e+00,2.033346e+02,1.645869e+02
3.779452e+00,4.739409e+00,4.739409e+00,2.132829e+02,1.714501e+02
4.157397e+00,4.817875e+00,4.817875e+00,2.236191e+02,1.744284e+02
1.511781e+00,4.597902e+00,4.597902e+00,3.389440e+02,3.149510e+02
1.700754e+00,4.614377e+00,4.614377e+00,1.165708e+02,9.149330e+01
1.889726e+00,4.632721e+00,4.632721e+00,2.597110e+01,-2.760000e-01
2.078699e+00,4.652911e+00,4.652911e+00,4.326600e+00,-2.293100e+01
2.267671e+00,4.674924e+00,4.674924e+00,1.727620e+01,-1.098600e+01
2.456644e+00,4.698735e+00,4.698735e+00,4.572700e+01,1.666280e+01
2.645617e+00,4.724315e+00,4.724315e+00,7.908010e+01,4.941340e+01
2.834589e+00,4.751637e+00,4.751637e+00,1.117036e+02,8.151230e+01
3.023562e+00,4.780671e+00,4.780671e+00,1.408695e+02,1.099335e+02
3.212534e+00,4.811385e+00,4.811385e+00,1.654772e+02,1.331412e+02
3.401507e+00,4.843748e+00,4.843748e+00,1.852417e+02,1.505412e+02
3.590480e+00,4.877727e+00,4.877727e+00,2.018089e+02,1.734399e+02
3.779452e+00,4.913288e+00,4.913288e+00,2.125977e+02,1.701813e+02
